,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
132,زاگرس,پتروشيمي زاگرس,871,485892,99929265305,200467,202100,206800,6333,3.16,205610,5143,2.57,202100,207200
133,پارند,صندوق س. پارند پايدار سپهر,848,109106351,1231960449252,11276,11287,11287,11,0.1,11291,15,0.13,11287,11294
134,سمازن,سيمان‌مازندران‌,841,3299279,36514324740,10890,10390,11130,240,2.2,11070,180,1.65,10390,11320
135,كروي,توسعه‌ معادن‌ روي‌ ايران‌,830,2257453,45207775190,19180,19220,20130,950,4.95,20030,850,4.43,18780,20130
136,وتوسم,سرمايه‌گذاري‌توسعه‌ملي‌,820,4478107,31772815920,6800,6940,7100,300,4.41,7100,300,4.41,6630,7140
137,افق,فروشگاههاي زنجيره اي افق كوروش,805,615772,40626110280,65100,68200,65990,890,1.37,65550,450,0.69,64900,68200
138,كمنگنز,معادن‌منگنزايران‌,803,1017539,76248569030,78790,74860,74860,-3930,-4.99,74930,-3860,-4.9,74860,76000
139,وبوعلي,سرمايه‌گذاري‌بوعلي‌,801,9847157,35429309710,3453,3550,3625,172,4.98,3598,145,4.2,3480,3625
140,فسپا,گروه‌صنعتي‌سپاهان‌,796,2322009,79071531080,32520,33990,34140,1620,4.98,34050,1530,4.7,33120,34140
141,شپديس,پتروشيمي پرديس,789,686827,64104089140,92760,93890,93750,990,1.07,93130,370,0.4,92760,93890
142,وسخوز,شركت س استان خوزستان,766,44580544,39721264704,937,891,891,-46,-4.91,917,-20,-2.13,891,891
143,ثمسكن,سرمايه‌گذاري‌ مسكن‌,765,7659830,29844955764,3856,3870,3919,63,1.63,3896,40,1.04,3800,3998
144,وبيمه,سرمايه‌ گذاري‌ صنعت‌ بيمه‌,760,124149249,251278079976,2130,2024,2024,-106,-4.98,2024,-106,-4.98,2024,2024
145,هرمز,فولاد هرمزگان جنوب,753,2690298,41834622948,15083,15300,15602,519,3.44,15248,165,1.09,15300,15650
146,وپترو,سرمايه‌گذاري صنايع پتروشيمي‌,742,2587041,26741355080,10200,9810,10630,430,4.22,10340,140,1.37,9810,10680
147,پاكشو,گروه صنعتي پاكشو,741,4497405,26821311610,5980,5750,6000,20,0.33,5980,0,0,5750,6050
148,كگل,معدني و صنعتي گل گهر,736,2096362,28286879580,13360,13670,13600,240,1.8,13390,30,0.22,13370,13700
149,وسينا,بانك سينا,731,15824146,35341366612,2233,2180,2270,37,1.66,2233,0,0,2180,2280
150,سپاها,سيمان‌سپاهان‌,724,7053527,49181404570,6700,6500,7030,330,4.93,6970,270,4.03,6500,7030
151,دابور,داروسازي‌ ابوريحان‌,708,1179913,31805452310,25980,26250,27270,1290,4.97,26960,980,3.77,26250,27270
152,خراسان,پتروشيمي خراسان,690,492170,30505729200,63580,60670,62250,-1330,-2.09,62480,-1100,-1.73,60670,63960
153,داسوه,داروسازي‌ اسوه‌,690,1976895,57141918130,35500,30000,28500,-7000,-19.72,28900,-6600,-18.59,28500,30000
154,فنوال,نورد آلومينيوم‌,657,786125,19297864680,23770,23500,24950,1180,4.96,24550,780,3.28,23500,24950
155,رانفور,خدمات‌انفورماتيك‌,655,3877551,22908263300,5960,5810,5960,0,0,5940,-20,-0.34,5810,6010
156,خريخت,صنايع‌ريخته‌گري‌ايران‌,652,7687396,16926939736,2243,2160,2187,-56,-2.5,2202,-41,-1.83,2159,2270
157,سرچشمه,سرمايه گذاري مس سرچشمه,643,3124568,20093955317,6374,6300,6475,101,1.58,6431,57,0.89,6300,6495
158,ونفت,سرمايه‌گذاري‌ صنعت‌ نفت‌,626,1948683,26266946950,12930,13570,13570,640,4.95,13480,550,4.25,13120,13570
159,وشهر,بانك شهر,623,6557073,32966458613,5007,5170,5010,3,0.06,5028,21,0.42,4998,5170
160,شبهرن,نفت‌ بهران‌,616,2423909,24973248960,10160,10180,10340,180,1.77,10230,70,0.69,10100,10400
161,ضخود7074,اختيارخ خودرو-1800-1400/07/07,612,21820,4146410000,183,195,177,-6,-3.28,190,7,3.83,166,209
162,پرداخت,به پرداخت ملت,608,2967361,60143458600,20820,21000,19850,-970,-4.66,20270,-550,-2.64,19780,21400
